relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.332007+00,2020-11-27 10:49:45.924631+00,,,1,2,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.35384+00,2020-11-27 10:49:45.763396+00,,,1,2,0,0
16398,public,district,379,7580000,273672342,274495208,20000,176563846,0,173596630,20000,26623,100007,0,2020-11-24 21:45:44.331005+00,2020-11-27 10:57:58.106097+00,2020-11-24 21:45:32.6584+00,2020-11-27 10:57:58.347112+00,1,345,1,347
13301,pg_toast,pg_toast_13299,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.351074+00,2020-11-27 10:49:46.050051+00,,,1,2,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.357277+00,2020-11-27 10:49:45.491791+00,2020-11-24 21:45:32.610801+00,,3,4,3,0
16392,public,customer,7,180000000,461524882,1445076549,60000000,171084964,0,164041139,60004628,8381864,79071485,0,2020-11-24 21:56:04.695814+00,,2020-11-24 21:45:32.959157+00,2020-11-27 09:44:30.071542+00,1,0,1,13
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,0,2020-11-24 21:45:44.335393+00,2020-11-27 10:49:45.343163+00,2020-11-24 21:45:32.603688+00,,1,2,1,0
3079,pg_catalog,pg_extension,0,0,19,11,3,6,0,6,4,0,9,0,2020-11-24 21:45:44.348448+00,2020-11-27 10:49:45.395555+00,2020-11-24 21:45:32.608837+00,,1,2,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.352733+00,2020-11-27 10:49:45.67271+00,,,1,2,0,0
13289,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,0,2020-11-24 21:45:44.348505+00,2020-11-27 10:49:45.60104+00,2020-11-24 21:45:32.609034+00,,1,2,1,0
16395,pg_toast,pg_toast_16392,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:56:04.696629+00,2020-11-27 10:49:45.650656+00,,,1,2,0,0
826,pg_catalog,pg_default_acl,0,0,12,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.356359+00,2020-11-27 10:49:45.455704+00,2020-11-24 21:45:32.610162+00,,1,2,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.356788+00,2020-11-27 10:49:45.187118+00,2020-11-24 21:45:32.61067+00,,1,2,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.351625+00,2020-11-27 10:49:45.553164+00,2020-11-24 21:45:32.609331+00,,1,2,1,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.342231+00,2020-11-27 10:49:45.797756+00,,,1,2,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.338609+00,2020-11-27 10:49:45.786357+00,,,1,2,0,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.350194+00,2020-11-27 10:49:44.834338+00,2020-11-24 21:45:32.610893+00,,1,2,1,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.353407+00,2020-11-27 10:49:45.420267+00,2020-11-24 21:45:32.610034+00,,1,2,1,0
2616,pg_catalog,pg_opclass,22,22,12029,172119,0,0,0,0,130,0,0,0,2020-11-24 21:45:44.340664+00,2020-11-27 10:49:45.021831+00,2020-11-24 21:45:32.604589+00,,1,2,1,0
