oid,relname,relkind,size,size_pretty
16406,customer,r,36446527488,34 GB
16435,customer_i1,i,1892573184,1805 MB
16451,customer_i2,i,3494813696,3333 MB
16411,district,r,2490368,2432 kB
16437,district_i1,i,466944,456 kB
16414,history,r,4819312640,4596 MB
16417,item,r,10674176,10 MB
16439,item_i1,i,2260992,2208 kB
16420,new_order,r,797302784,760 MB
16441,new_order_i1,i,567779328,541 MB
16423,order_line,r,55868121088,52 GB
16443,order_line_i1,i,18924789760,18 GB
16426,orders,r,3615145984,3448 MB
16445,orders_i1,i,1892573184,1805 MB
16452,orders_i2,i,1892573184,1805 MB
16429,stock,r,68378107904,64 GB
16447,stock_i1,i,4492353536,4284 MB
16432,warehouse,r,270336,264 kB
16449,warehouse_i1,i,65536,64 kB
