oid,relname,relkind,size,size_pretty
16417,customer,r,36468989952,34 GB
16446,customer_i1,i,1892573184,1805 MB
16448,customer_i2,i,3494797312,3333 MB
16422,district,r,2490368,2432 kB
16450,district_i1,i,466944,456 kB
16425,history,r,4819361792,4596 MB
16428,item,r,10665984,10 MB
16452,item_i1,i,2260992,2208 kB
16431,new_order,r,797302784,760 MB
16454,new_order_i1,i,567779328,541 MB
16434,order_line,r,55866613760,52 GB
16456,order_line_i1,i,18924281856,18 GB
16437,orders,r,3615145984,3448 MB
16458,orders_i1,i,1892573184,1805 MB
16460,orders_i2,i,1892573184,1805 MB
16440,stock,r,68378124288,64 GB
16462,stock_i1,i,4492353536,4284 MB
16443,warehouse,r,270336,264 kB
16464,warehouse_i1,i,65536,64 kB
